Index,radii,dVdlnr
0,0.01,0.0
1,0.1,1.141517984
2,1.0,0.787652974
3,1.26,0.777801926
4,1.59,0.915387462
5,2.0,1.151354079
6,2.51,1.451468249
7,3.16,1.868968077
8,3.98,2.509178681
9,5.01,3.413212647
10,6.31,4.585413926
11,7.95,5.926146928
12,10.0,7.49617664
13,12.6,8.978482534
14,15.9,9.807404593
15,20.0,10.02341827
16,25.1,9.875466144
17,31.7,8.599439347
18,39.9,6.915087845
19,50.2,5.140342618
20,63.2,3.396017156
21,79.5,1.969488907
22,100.0,0.986697113
23,126.0,0.475459448
24,159.0,0.295390253
25,200.0,0.225426698
26,252.0,0.185615424
27,317.0,0.163527422
28,399.0,0.158934105
29,502.0,0.16452473
30,632.0,0.16645187
31,796.0,0.151882805
32,1000.0,0.119204846
33,1260.0,0.081291903
34,1590.0,0.056792062
35,2000.0,0.0
