Index,radii,dVdlnr
0,0.01,0.0
1,0.1,0.965652778
2,1.0,0.616972222
3,1.26,0.588347222
4,1.59,0.6845
5,2.0,0.860888889
6,2.51,1.074958333
7,3.16,1.353583333
8,3.98,1.772666667
9,5.01,2.372847222
10,6.31,3.182430556
11,7.95,4.177805556
12,10.0,5.457819444
13,12.6,6.835194444
14,15.9,7.850319444
15,20.0,8.469513889
16,25.1,8.904055556
17,31.7,8.462625
18,39.9,7.740875
19,50.2,6.8605
20,63.2,5.770305556
21,79.5,4.57775
22,100.0,3.355944444
23,126.0,2.217708333
24,159.0,1.395736111
25,200.0,0.922736111
26,252.0,0.658277778
27,317.0,0.529486111
28,399.0,0.446861111
29,502.0,0.38675
30,632.0,0.329916667
31,796.0,0.284847222
32,1000.0,0.250277778
33,1260.0,0.218611111
34,1590.0,0.185902778
35,2000.0,0.0
